fbi_code,fbi_name,legal_definition,friendly_definition,iucr,primary_type,description,type,index_code
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,051A,ASSAULT,AGGRAVATED: HANDGUN,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0550,ASSAULT,AGGRAVATED PO: HANDGUN,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0551,ASSAULT,AGGRAVATED PO: OTHER FIREARM,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0555,ASSAULT,AGG PRO.EMP: HANDGUN,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,violent,I
04A,Aggravated assault,An unlawful attack by one person upon another wherein the offender displays a weapon in a threatening manner. Placing someone in reasonable apprehension of receiving a battery.,Credibly threatening to hit someone with the intent of causing severe injury. Brandishing a weapon usually counts.,0558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,041A,BATTERY,AGGRAVATED: HANDGUN,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,041B,BATTERY,AGGRAVATED: OTHER FIREARM,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0450,BATTERY,AGGRAVATED PO: HANDGUN,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0451,BATTERY,AGGRAVATED PO: OTHER FIREARM,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0480,BATTERY,AGG PRO.EMP: HANDGUN,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0481,BATTERY,AGG PRO.EMP: OTHER FIREARM,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0485,BATTERY,AGGRAVATED OF A CHILD,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0487,BATTERY,AGGRAVATED OF A UNBORN CHILD,violent,N
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0490,RITUALISM,AGG RITUAL MUT:HANDGUN,other,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,other,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0493,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON,other,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,violent,I
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0499,BATTERY,AGGRAVATED DOMESTIC BATTERY,,
04B,Aggravated battery,"An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Hitting someone and causing severe injury - such a serious cuts or broken bones - often with a weapon.,0510,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,other,I
09,Arson,To unlawfully and intentionally damage or attempt to damage any real or personal property by fire or incendiary device. ,Burning - or trying to burn - someone else's stuff.,1010,ARSON,BY EXPLOSIVE,property,I
09,Arson,To unlawfully and intentionally damage or attempt to damage any real or personal property by fire or incendiary device. ,Burning - or trying to burn - someone else's stuff.,1020,ARSON,BY FIRE,property,I
09,Arson,To unlawfully and intentionally damage or attempt to damage any real or personal property by fire or incendiary device. ,Burning - or trying to burn - someone else's stuff.,1025,ARSON,AGGRAVATED,property,I
09,Arson,To unlawfully and intentionally damage or attempt to damage any real or personal property by fire or incendiary device. ,Burning - or trying to burn - someone else's stuff.,1090,ARSON,ATTEMPT ARSON,property,I
05,Burglary,The unlawful entry into a building or other structure with the intent to commit a felony or a theft. ,Breaking into a building with the intent to steal or commit a felony.,0610,BURGLARY,FORCIBLE ENTRY,property,I
05,Burglary,The unlawful entry into a building or other structure with the intent to commit a felony or a theft. ,Breaking into a building with the intent to steal or commit a felony.,0620,BURGLARY,UNLAWFUL ENTRY,property,I
05,Burglary,The unlawful entry into a building or other structure with the intent to commit a felony or a theft. ,Breaking into a building with the intent to steal or commit a felony.,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,property,I
05,Burglary,The unlawful entry into a building or other structure with the intent to commit a felony or a theft. ,Breaking into a building with the intent to steal or commit a felony.,0650,BURGLARY,HOME INVASION,property,I
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1535,OBSCENITY,OBSCENITY,other,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1536,PUBLIC INDECENCY,LICENSED PREMISE,other,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1540,OBSCENITY,OBSCENE MATTER,other,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,other,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,sensitive,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,sensitive,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,sensitive,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,sensitive,N
17,Criminal sexual abuse,"The violation of laws prohibiting offenses against chastity, common decency, morals, and the like such as: adultery and fornication; bigamy; indecent exposure; and indecent liberties.","Behavior that violates ""common decency,"" such as adultery, bigamy, indecent exposure.",1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,sensitive,N
